entity_id,name,sanction_program
7193,"ORBE SEVILLANO, ZIGOR",SDGT
7194,"OTEGUI UNANUE, MIKEL",SDGT
7195,"PEREZ ARAMBURU, JON INAKI",SDGT
7196,"SAEZ DE EGUILAZ MURGUIONDO, CARLOS",SDGT
7197,"URANGA ARTOLA, KEMEN",SDGT
7198,"VILA MICHELENA, FERMIN",SDGT
7203,"AOUADI, MOHAMED BEN BELGACEM",SDGT
7204,"BEN HENI, LASED",SDGT
7205,"BOUCHOUCHA, MOKHTAR",SDGT
7207,"ES SAYED, ABDELKADER MAHMOUD",SDGT
7208,"ESSID, SAMI BEN KHEMAIS",SDGT
7209,"AL-FAWAZ, KHALID ABD AL-RAHMAN HAMD",SDGT
7210,"AL-MASRI, ABU HAMZA",SDGT
7211,"APAOLAZA SANCHO, IVAN",SDGT
7212,"BERASATEGUI ESCUDERO, ISMAEL",SDGT
7213,"GALLASTEGUI SODUPE, LEXURI",SDGT
7214,"PALACIOS ALDAY, GORKA",SDGT
7215,"QUINTANA ZORROZUA, ASIER",SDGT
7216,"RUBENACH ROIG, JUAN LUIS",SDGT
7217,"ZUBIAGA BRAVO, MANEX",SDGT
7220,"DA COSTA, LUIS FERNANDO",SDNTK
7221,"GONZALEZ QUIRARTE, EDUARDO",SDNTK
7222,"IBRAHIM, HAJI",SDNTK
7223,"KNOWLES, SAMUEL",SDNTK
7224,"TUITO, ODED",SDNTK
7226,"ZAMBADA GARCIA, ISMAEL",SDNTK] [ILLICIT-DRUGS-EO14059
7235,"SISON, JOSE MARIA",SDGT
7251,"BEN SOLTANE, ADEL",SDGT
7252,"BEN ATTIA, NABIL BEN MOHAMED BEN ALI",SDGT
7253,"CHEKKOURI, YASSINE",SDGT
7254,"JELASSI, RIADH BEN BELKASSEM BEN MOHAMED",SDGT
7255,"KAMMOUN, MEHDI",SDGT
7256,"KISHK, SAMIR",SDGT
7257,"MAAROUFI, TAREK BEN HABIB BEN AL-TOUMI",SDGT
7258,"REMADNA, ABDELHALIM",SDGT
7259,"THAER, MANSOUR",SDGT
7260,"TLILI, AL-AZHAR BEN AMMAR BEN ABADALLAH",SDGT
7261,"WADDANI, HABIB",SDGT
7263,"JULAIDAN, WA'EL HAMZA ABD AL-FATAH",SDGT
7264,"BAHAJI, SAID",SDGT
7265,"BINALSHIBH, RAMZI MOHAMMED ABDULLAH",SDGT
7266,"EL MOTASSADEQ, MOUNIR",SDGT
7267,"ESSABAR, ZAKARYA",SDGT
7281,"GOMEZ BUSTAMANTE, LUIS HERNANDO",SDNT
7282,"MONTOYA SANCHEZ, DIEGO LEON",SDNT
7302,"GOMEZ APONTE, LAURA VICTORIA",SDNT
7303,"GOMEZ GOMEZ, VIVIANA",SDNT
7304,"GOMEZ JARAMILLO, OLGA CECILIA",SDNT
7308,"HURTADO ROMERO, JAIRO JOSE",SDNT
7313,"MONTOYA SANCHEZ, EUGENIO",SDNT
7314,"MONTOYA SANCHEZ, JUAN CARLOS",SDNT
7316,"RUIZ CASTANO, MARIA HELENA",SDNT
7317,"ECHEBERRIA SIMARRO, LEIRE",SDGT
7318,"ECHEGARAY ACHIRICA, ALFONSO",SDGT
7320,"VALLEJO FRANCO, INIGO",SDGT
7326,"SAYADI, NABIL ABDUL SALAM",SDGT
7328,"ISAMUDDIN, NURJAMAN RIDUAN",SDGT
7329,"ABDURRAHMAN, MOHAMAD IQBAL",SDGT
7471,"HEKMATYAR, GULBUDDIN",SDGT
7489,"CHIWENGA, CONSTANTINO GUVEYA",GLOMAG
7513,"MNANGAGWA, EMMERSON DAMBUDZO",GLOMAG
7522,"MUCHINGURI, OPPAH CHARM ZVIPANGE",GLOMAG
7574,"VALENCIA TRUJILLO, JOAQUIN MARIO",SDNT
7647,"ADEMI, XHEVAT",BALKANS
7648,"ADILI, GAFUR",BALKANS
7650,"ALISPAHIC, BAKIR",BALKANS
7653,"BAJAGIC, ZVONKO",BALKANS
7655,"BANOVIC, PREDRAG",BALKANS
7656,"BEQIRI, IDAJET",BALKANS
7657,"BEXHETI, NURI",BALKANS
7659,"BJELICA, MILOVAN",BALKANS
7660,"BLAGOJEVIC, VIDOJE",BALKANS
7661,"BLASKIC, TIHOMIR",BALKANS
7662,"BORAVCANIN, LJUBOMIR",BALKANS
7664,"BOSKOVSKI, LJUBE",BALKANS
7665,"BRDJANIN, RADOSLAV",BALKANS
7666,"BUTKA, SPIRO",BALKANS
7668,"CERKEZ, MARIO",BALKANS
7669,"CESIC, RANKO",BALKANS
7670,"CESIC-ROJS, LJUBO",BALKANS
7672,"CORIC, VALENTIN",BALKANS
7673,"DALIPI, TAHIR",BALKANS
7674,"DELIC, HAZIM",BALKANS
7677,"DOSEN, DAMIR",BALKANS
7678,"ELSHANI, GAFUR",BALKANS
7680,"FURUNDZIJA, ANTO",BALKANS
7681,"FUSTAR, DUSAN",BALKANS
7682,"GAJIC-MILOSEVIC, MILICA",BALKANS
7683,"GALIC, STANISLAV",BALKANS
7686,"GRUBAN, MOMCILO",BALKANS
7687,"HABIBI, SKENDER",BALKANS
7688,"HADZIHASANOVIC, ENVER",BALKANS
7689,"HALILI, NEVZAT",BALKANS
7691,"HARADINAJ, DAUT",BALKANS
7692,"HASANI, ZHAVIT",BALKANS
7693,"HAXHIREXHA, KASTRIOT",BALKANS
7695,"IVANOVIC, MILAN",BALKANS
7696,"JAKSIC, MARKO",BALKANS
7697,"JANKOVIC, GOJKO",BALKANS
7698,"JELAVIC, ANTE",BALKANS
7699,"JELISIC, GORAN",BALKANS
7700,"JOKIC, DRAGAN",BALKANS
7701,"JOKIC, MIODRAG",BALKANS
